clase,probclase1,probclase2,probclase3,Country,L1Name,L2Namev2,BECTUAREAL2,BECCVPTCHAREAL2,BECAWMNSHPINDXL2,BECAWMNNNGHL2,BECEFFMESHSIZEL2,BECAWEDGDENSL2,BECPOPDENSADJL2,BECPRSBRTL2,BECPRSSUBWAYL2,BECADCRCTYAVGL2,BECADINTDENSL2,BECADSTTDENSL2,BECURBTRVDELAYINDEXL2
2,1.48E-16,0.999994874,0.00001,Brasil,Blumenau,Indaial,1270.2611,904.8706,6.3705,72.422,12.9908,0.285851148,1232.05,0,0,1.118305295,2.554928295,1038.384038,0.092393063
2,2.94E-14,1,0.00000,Brasil,Blumenau,Pomerode,713.874,775.4838,5.2377,93.0649,6.3099,1.301569697,523.728,0,0,1.121868798,3.752514729,1698.568301,0.095657448
3,3.55E-16,0.002448816,0.99755,Brasil,Blumenau,Timbo,1370.2476,1148.4154,7.5281,75.3761,96.0285,6.317581978,1083.772,0,0,1.058121584,8.544716335,2510.584758,0.063715461
2,6.02E-15,1,0.00000,Brasil,Boa Vista,Boa Vista,6857.3736,1644.9056,5.4752,100.4238,57.2885,0.202002731,2590.311,0,0,1.0443005,1.491034711,467.5084085,0.101464812
2,3.60E-14,0.999999997,0.00000,Brasil,Botucatu,Botucatu,2927.7864,1116.4619,4.8655,90.7918,28.8339,0.462631266,1970.823,0,0,1.08193887,3.483442204,1076.668941,0.031884838
2,2.81E-13,0.999998969,0.00000,Brasil,Braganca Paulista,Bragança Paulista,3059.4779,1200.1408,4.7365,82.4349,57.9782,1.017847629,2448.614,0,0,1.086142561,7.877252819,2111.257082,0.044579867
3,2.10E-22,6.55E-23,1.00000,Brasil,Brasilia,Brasília,41324.826,1960.7457,6.2266,74.2746,350.8819,0.147265128,3089.546,1,1,1.067930239,10.843269,2162.24054,0.053178721
3,6.37E-09,1.51E-11,1.00000,Brasil,Brasilia,Águas Lindas de Goiás,2967.8376,933.3218,4.7385,69.9166,245.2863,3.565356585,2515.574,0,0,1.028185225,19.13259612,4530.89813,0.024155398
2,8.17E-12,0.999999999,0.00000,Brasil,Brasilia,Cidade Ocidental,1008.6252,528.4874,3.5312,92.5658,5.8512,0.511658369,1569.612,0,0,1.057745942,5.272483829,1332.461582,0.017082771
2,6.65E-15,1,0.00000,Brasil,Brasilia,Luziânia,3871.0854,1277.2732,5.2779,108.6995,11.3752,0.141329173,1911.875,0,0,1.067009644,1.875477104,584.5709989,0.016401042
2,7.13E-11,0.999999931,0.00000,Brasil,Brasilia,Novo Gama,1254.512,674.876,3.7275,89.4473,26.8363,1.30344419,3046.04,0,0,1.035551248,10.31600392,2383.397278,0.017545849
3,3.05E-07,1.88E-92,1.00000,Brasil,Brasilia,Valparaíso de Goiás,2170.256,791.1328,4.2357,61.6238,554.2582,7.899776266,4192.147,0,0,1.058895183,46.1134022,9327.829807,0.053948837
2,9.52E-14,0.999965044,0.00003,Brasil,Brusque,Brusque,2878.218,912.4112,4.9457,70.105,58.7066,1.5964013,1233.154,0,0,1.08118547,7.811104087,2122.011823,0.062078887
2,4.26E-13,0.999999999,0.00000,Brasil,Brusque,Guabiruba,456.7482,418.9215,4.3107,88.5565,1.8025,0.675754362,339.7346,0,0,1.108937008,3.598167954,1383.752983,0.044023611
2,2.54E-10,1,0.00000,Brasil,Cabo Frio,Arraial do Cabo,615.6017,280.5867,2.5828,158.9408,4.2851,0.568854093,1753.768,0,0,1.043351718,7.569599402,1468.690943,0.024346076
2,1.02E-09,0.993991971,0.00601,Brasil,Cabo Frio,Cabo Frio (Distrito Cabo Frio only),3379.152,755.3225,3.8978,70.912,60.517,0.800182998,2991.709,0,0,1.033676555,15.48650052,2871.024417,0.073186495
2,2.23E-12,0.999990519,0.00001,Brasil,Cabo Frio,Sao Pedro da Aldeia,1814.6655,488.2966,4.2002,74.6385,21.3802,0.808538475,1885.502,0,0,1.058809606,9.262418422,1946.439848,0.048952537
2,1.22E-11,1,0.00000,Brasil,Cachoeiro de Itapemirim,Cachoeiro de Itapemirim,2006.4456,683.3119,3.7975,106.2052,6.3957,0.189163397,2900.825,0,0,1.130001252,3.59501663,1076.176781,0.078485083
3,5.06E-08,2.97E-09,1.00000,Brasil,Campina Grande,Campina Grande,4786.821,1280.6241,4.6859,79.4332,272.0419,1.728589563,5274.486,0,0,1.030963252,12.97038249,2168.696635,0.147439059
2,1.00E-10,1,0.00000,Brasil,Campina Grande,Lagoa Seca,167.4,447.2789,2.3875,132.0811,1.1411,0.719028992,720.5964,0,0,1.113209148,3.481326561,1088.792113,0.033524117
2,1.36E-08,0.999999986,0.00000,Brasil,Campina Grande,Massaranduba,77.0393,267.01,2.2497,254.4001,0.1234,0.232389952,359.1176,0,0,1.094015582,0.646400456,234.1768239,0.01181879
2,1.77E-10,1,0.00000,Brasil,Campina Grande,Queimados,440.0055,430.7143,2.714,151.1776,0.952,0.237681836,836.4877,0,0,1.044617763,1.602396012,446.6826464,0.045686277
3,2.87E-18,2.24E-160,1.00000,Brasil,Campinas,Americana,4248.1824,1352.1324,7.8927,65.6403,842.6378,7.891192099,3016.083,0,0,1.027933048,45.46566021,8130.879099,0.047252533
3,1.12E-16,0,1.00000,Brasil,Campinas,Campinas,20297.304,1639.8033,6.0134,65.8556,1467.244,1.769354333,3682.353,1,0,1.053173946,32.38035809,6099.345461,0.089416287
2,1.20E-11,1,0.00000,Brasil,Campinas,Cosmopolis,992.6114,831.6501,4.0831,101.2131,36.944,2.230559889,2430.507,0,0,1.040773981,8.977408593,1882.657587,0.025028252
3,1.35E-06,0,1.00000,Brasil,Campinas,Hortolândia,4075.5594,649.2757,3.7488,60.6033,1744.5075,10.7854839,3860.127,0,0,1.032633578,62.97068411,11378.80105,0.098344791
3,3.72E-10,6.80E-07,1.00000,Brasil,Campinas,Indaiatuba,4380.3967,1301.8044,5.0431,66.606,226.4442,2.16832517,2665.985,0,0,1.051845245,15.07476204,3480.905053,0.056826475
2,3.54E-15,0.999996801,0.00000,Brasil,Campinas,Itu,3656.0029,1378.5856,5.7552,81.1431,85.5144,1.2083184,2012.039,0,0,1.103891547,6.572362202,1801.077046,0.0424726
2,3.34E-09,0.997775938,0.00222,Brasil,Campinas,Louveira,828.6348,521.8599,4.1004,73.9592,21.8553,3.054324599,1371.14,0,0,1.100903011,14.76799499,3559.304294,0.056004722
