screen_name,created_since,favourites_count,followers_count,friends_count,listed_count,statuses_count
Raguamente,2633,3829,327,1622,6,7067
diegocuellarsar,1695,170,19,294,0,22
Alopezortiz8,1279,26,66,905,0,15
dyah2018,1705,2754,60,513,2,2170
ArtistasZona,3026,15763,1481,2195,93,75633
Camilosqui21,2465,13,11,85,0,41
anamari41297470,2257,55,198,1293,3,996
Pibe125,3432,5576,448,2839,1,2664
miltonelaudaz,2953,303,247,411,0,1509
luchoceliscnai,3233,7793,10279,7754,95,174252
johnoct,1805,15182,194,937,1,29865
jbedoyavilla,3759,7,107,308,2,40
julianbarajas,2873,2477,483,1168,4,2563
ManuelSpinel,1993,1070,37,160,0,512
luccossie,1799,2,10,195,0,0
Marceambiental2,342,4820,23,170,0,76
Pulgaguila,2743,86,201,690,0,371
omarali01,3100,3302,199,1225,2,2951
Rochelle99r,1715,19224,762,1276,6,41854
RchrdN_,2985,17641,442,2068,3,6587
jrenesa,2807,288,213,617,1,6568
carlosandresvp,3473,1375,698,2479,2,4312
julian_gahe,1527,11018,130,1208,7,3056
Reyitos1,3315,6241,114,511,0,6605
SergioGonzalezF,3180,29243,2637,3163,44,145157
KmiloVg,3412,1081,155,647,0,3342
AngMarRivero,2779,1301,64,1338,0,533
JuDavCastro,3141,1161,147,1055,1,2020
darodriguezj,3157,296,80,1054,0,600
PgGallegoart,1664,1506,143,687,0,10522
Pan_DeTienda,3514,1293,422,1101,3,20261
jego9130,1962,183,36,476,0,142
FabianGaleano95,2349,10299,384,1388,2,3595
Sebastiaanvaa,3015,12242,120,669,0,12857
Nemcatacoak,1822,5819,1268,3556,1,8109
jualquimo,2293,222,7,143,0,186
aldana_josel,1507,3648,293,575,1,2921
javierdanilomur,2605,239,657,1842,4,5135
ZapataHady,318,983,24,978,0,17
DSanguinoZ,2605,450,153,1249,0,730
sontohi,1085,22620,579,1236,0,27791
Ricaraguas82,2659,16828,806,4970,5,11669
luisfelipehenao,3242,17574,47329,1428,237,46780
Ssalazar1508,772,14261,79,789,0,6856
go_vargas,2976,2208,818,1338,29,2657
alatorrecorro,3109,4172,1051,4371,8,12350
lina_duende,2066,31,51,154,0,46
mauvela,3458,779,87,1215,0,278
milangacali,559,2623,656,460,8,637
arpagon,3920,1752,565,1822,17,2741
LauraPTamayo,3579,1787,354,1121,18,5155
pabloabitbol,3597,2255,4070,1942,184,14686
LinaDiaz17,2697,303,22,386,0,49
LasernaBogota,2950,2936,10941,4965,70,8718
DISCuniandes,2353,498,2766,181,66,5166
mpachoncv,3175,4963,2973,2198,62,6756
juandacontreras,3475,3800,381,450,5,3875
MiguelMaceaM,2950,2179,12333,13110,46,41930
sboteroc,3277,865,348,461,8,972
fbenitez001,2752,285,151,444,3,356
dwhitelined,2707,1088,290,560,8,4137
col_en_datos,272,4,500,2201,4,46
sarangof,3545,8118,1640,530,1,15309
Petite_Lucia,3136,1222,94,317,2,693
danielflorez111,3147,353,123,198,2,38
keyvhinng,2377,1068,55,2146,0,9
__NSL__,684,1190,108,664,1,85
LeopolisDream,2668,406,43,281,2,118
_GabeMaldonado,2071,967,40,126,1,493
hsclouse,1453,26,90,1014,1,3
J_Vazquez_M,2188,3218,451,1230,11,3528
El_Gafas,3570,206,85,432,1,261
CharDataSci,173,10,2,21,0,6
Navdeep_Gill_,1359,3954,594,650,168,2506
jesselcalvillo,618,102,19,86,0,54
geekFreak75,304,4511,758,4873,7,88267
jjsantoso,2898,1388,248,691,1,405
KellanNg,423,297,62,998,1,72
tony_fanto,327,11,24,211,0,3
nutritiousbig,3463,23309,206,828,7,1621
alexdimarzo,2343,9892,752,1887,9,13061
MoniMCarva,2183,172,92,214,1,763
gSggekF2XDoNjM8,407,0,0,46,0,0
_cloudbuster,2736,225,145,1109,4,41
MarwanMhn,2761,125,41,534,2,221
mrprecario,3566,1047,100,817,0,2000
cubosensei,3286,2136,532,418,35,49394
SeguraAndres7,3082,1,84,138,0,140
Gash_ander,2214,5,10,227,0,6
DanteRuizMtz,2809,1350,69,1287,5,97
GeorgeMcInt,2923,22547,1098,3604,28,4858
ksvberkeley,455,0,0,9,0,2
systatz,1064,2104,115,325,5,136
favstats,2538,4794,1613,5002,44,2668
davidsichinava,3465,1198,2193,2154,32,2574
Roongdonsai,3447,1185,312,714,8,296
alexlinaresb,2029,5224,33,595,1,0
Andresfl710,184,12,10,26,0,27
van_Faren,1262,19,34,386,0,136
datajake,2831,20604,345,1323,5,3433
erinlrichter,1413,483,70,123,0,242
_mxochicale,1371,4540,858,3785,108,4037
stevenndungu_,571,147,46,545,0,3
CHARLESNIKOV,3524,1154,128,216,11,9155
karenhytteballe,1694,517,123,319,1,283
ajraft,2938,5,5,142,0,1
CarloRock,3491,100,181,2296,1,147
biinsightnz,3522,329,243,151,26,668
pbidocumenter,248,101,264,24,10,70
diansanchez,3398,1527,391,1921,11,5108
408cd59943ae4ba,1146,3,1,84,0,12
sarahlovesdata,1370,47952,4760,2213,140,12965
isusquiza,3219,3178,87,741,8,1098
ggrosskelwingn,503,18,18,142,0,486
effehan,3433,483,225,339,11,360
datasci_andrea,1192,7877,739,1624,45,473
01717257469,2653,3791,179,2670,3,1768
djihane_damoo,852,591,35,365,0,39
krigran,283,120,1,164,0,4
ealpv,2818,18630,387,2683,11,747
zanismlab,2488,2559,181,1387,37,6327
ocasto2,1364,15530,113,1324,0,747
abhizz,3587,1461,103,1294,1,318
Keith_Not_Kevin,3003,22761,1072,4991,25,34345
ArashShadkam,2379,833,119,349,1,200
Nouzr,2752,5716,356,781,25,12026
AbdullahAkbas_,703,303,61,201,0,101
SinghTweet7,2401,8857,89,1174,1,2445
tahsin_mayeesha,477,1438,151,698,3,1257
GabrielPintoP,2626,1508,72,29,0,945
dersteppen,3452,37,1467,2949,239,2029
CamiloAnzola10,257,29,4,54,0,20
re_gonzalez10,1826,32,0,19,0,35
SabogalOrlando,2548,1170,22,281,0,224
germainggz,2217,0,4,94,0,3
Nicolas9411,2978,89,25,54,0,126
yelperalp,3704,2275,475,440,27,3012
oncoscape,289,198,613,5002,5,87
Goerman_Rafi,2639,9,60,121,1,138
Monikduran,3492,2041,58,77,2,788
carovar1,2627,0,16,11,0,5
jucelo1,3200,1,1,7,0,3
LuisGeBorja,3654,1789,129,486,3,694
TamayoV88,3493,1623,220,161,12,32817
jguille27,2513,0,25,17,0,2
XergioAleX,3376,1199,389,764,43,2669
soorghali,2921,3376,1209,4988,26,1260
gijnRu,855,5101,919,2972,32,5766
syntagmatic,3397,1045,1544,292,153,768
joserzapata,3564,324,168,455,4,150
Nathanbasw,3579,598,82,1283,0,94
dunabit,3518,57850,287,315,518,23305
katguzmann,3607,5305,470,2045,21,1599
meghanmcarr1,1446,16368,298,518,223,19647
j_barria,3229,1142,259,543,6,1654
vyraun,1065,2440,99,3006,1,32
mgrautoff,3507,1213,944,910,30,27767
nellygocheva,1087,266,1123,978,23,222
keesh_6,1223,8,0,47,0,3
ak2197798,425,46,268,883,1,36
terrancepmlaw,2402,0,4,106,0,1
sebasariash,2789,3,15,143,0,4
georgosgeorgos,804,110,32,1231,0,0
dariopalacio,4070,1803,1371,310,40,9052
lcastelblancos,2862,69,44,299,1,75
mapis_rios,2653,148,17,176,0,45
deblnia,971,50407,456,783,3,427
jjgiraldoaristi,286,4,0,33,0,8
wriordan,3514,3986,760,976,31,2643
ssolarte,3306,284,267,823,2,1382
drpalacios,3590,53,197,535,1,654
ColombiaOff,455,3,0,32,0,0
Jiang0717,1814,1488,75,400,3,377
MbetajimeJ,1551,5573,74,710,2,2243
alice_inMacondo,436,44,3,106,0,59
cinefilo73070,3200,221,347,3491,0,1231
violetasdev,1412,2339,143,241,19,1420
juliandresbv,1106,102,24,487,0,24
JorgeIRamirezC,2706,800,295,291,0,472
JiviteshPoojary,294,126,28,1086,0,37
ramirofierro,3564,10,74,183,1,21
limboctante,3554,1268,694,550,22,2698
GioAlbarracin,1733,1405,92,773,0,1025
alejgah,3139,5196,402,1871,2,1404
RonanKMcGovern,3143,3,154,111,4,172
blou,3885,139,124,360,4,647
eljhonan,2853,151,97,656,2,657
ElisaMeloB,2858,72,20,9,0,16
carlcardona,2133,173,45,152,0,112
TurriApple,3722,8823,1468,1019,26,83490
diegopajarito,3307,14445,1159,2531,150,14400
feliartu,1818,1492,86,513,0,70
Pachoman,3945,1660,1779,868,68,12218
vVvA,3823,5315,1239,1224,77,5794
CristianGuaje,653,1796,28,219,0,477
germanchou,4025,5780,1146,609,35,11566
aladinoster,2774,1097,190,782,10,546
nozuan,4040,293,3461,198,208,17582
EllaQuimica,1521,7484,1263,2135,58,3734
DataScienceFEM,423,1243,341,374,4,617
raulspot,3674,305,376,1136,5,2280
andresbarreto,3999,2033,21945,2945,914,12432
FerCagua,3892,403,430,584,15,2016
JSnunki,3149,6223,1770,1166,88,5539
xfry,3705,5570,1648,1177,58,9256
rizotas,2051,98,120,333,20,854
marcelogbastos,3823,94,168,307,77,603
HyperFitted,2859,4975,216,464,4,457
ltciro,1062,8673,1660,2672,30,3020
camicasi81,3095,592,234,746,2,494
andresherrera,4160,886,796,1319,29,8848
joebradly,3632,1764,8,248,0,2
johan_avendano,2329,9417,587,1161,4,10813
